Id,B_Age,B_Height,B_Weight,B_Name,R_Age,R_Height,R_Weight,R_Name,winby,winner
598,36.0,172.0,65.0,Ricardo Lamas,33.0,167.0,65.0,Chad Mendes,KO/TKO,red
599,33.0,175.0,70.0,Diego Ferreira,29.0,175.0,70.0,Dustin Poirier,KO/TKO,red
600,31.0,175.0,70.0,Al Iaquinta,33.0,180.0,77.0,Jorge Masvidal,DEC,blue
601,32.0,177.0,70.0,Mitch Clarke,30.0,185.0,70.0,Michael Chiesa,DEC,red
602,33.0,190.0,120.0,Tim Johnson,37.0,190.0,106.0,Shamil Abdurakhimov,KO/TKO,blue
603,35.0,170.0,56.0,Lauren Murphy,34.0,167.0,56.0,Liz Carmouche,DEC,red
604,29.0,165.0,61.0,Milana Dudieva,29.0,167.0,61.0,Julianna Pena,KO/TKO,red
605,32.0,172.0,65.0,Robert Peralta,36.0,170.0,65.0,Clay Guida,DEC,red
606,38.0,180.0,84.0,Justin Jones,35.0,182.0,84.0,Ron Stallings,DEC,red
607,34.0,190.0,77.0,Alexander Yakovlev,39.0,172.0,65.0,Gray Maynard,DEC,blue
608,35.0,185.0,77.0,Ryan LaFlare,40.0,185.0,77.0,Demian Maia,DEC,red
609,30.0,180.0,77.0,Alex Oliveira,32.0,177.0,70.0,Gilbert Burns,SUB,red
610,32.0,172.0,65.0,Sam Sicilia,36.0,172.0,65.0,Katsunori Kikuno,SUB,red
611,28.0,182.0,70.0,Tony Martin,29.0,177.0,70.0,Beneil Dariush,SUB,red
612,41.0,182.0,84.0,Yoel Romero,39.0,180.0,84.0,Tim Kennedy,KO/TKO,blue
613,32.0,175.0,70.0,Leandro Silva,40.0,175.0,70.0,Francisco Trinaldo,DEC,red
614,28.0,180.0,65.0,Andre Fili,30.0,172.0,61.0,Felipe Arantes,DEC,blue
615,28.0,193.0,77.0,Matt Dwyer,26.0,180.0,77.0,Albert Tumenov,KO/TKO,red
